statement,occurences,proposed label
 sinustachykardi höger el - axel högersidigt skänkelblock avvikande qrs ( t ) förlopp inferior infarkt bör övervägas ,1,
 sinusrhythmus linkstyp überdreht chron antero - infero - apikaler infarkt möglich ( q in ii iii v4 - xxxx ) st - hebung in v1 - xxxx ( aneurysma bekannt ) fehlende r - progression über vorderwand ,1,
 sinusrhythmus lagetyp normal u - welle in v2 - xxxx ,2,
 sinusrhythmus lagetyp normal rechtsschenkelblock ,14,
 sinusrhythmus lagetyp normal p biphasisch in v1 iii avl t hoch und spitz in v2 ,1,
 sinusrhythmus linkstyp qrs ( t ) abnorm inferiorer infarkt möglich ,5,
 sinusrhythmus ob ,3,
 sinusrhythmus av block i ueberdrehter linkstyp part rsb lahb st - hebung in v2 - xxxx t spitz in v4 - xxxx ,1,
 sin - arrhy linkstyp rechtsschenkelblock ,1,
 sinus arrhythmie av block i lagetyp normal ,3,
 supraventrikuläre extrasystole ( n ) sinusrhythmus linkstyp ,1,
 sinusrhythmus p - verbreiterung lagetyp normal unspezifische intraventrikuläre leitungsstörung ,1,
 sinusrhythmus lagetyp normal t flach in v1 biphasisch in v2 - xxxx ,1,
 sinusrhythmus lagetyp normal intraventr leitungsstörung in ii avf q in v1 schlechte r - progression st - senkung in v5 v6 path ecg ,1,
 sinusrhythmus linkstyp st - hebung diskret über v1 - v3 t hoch in v2 iii normales ecg ,1,
 sinusrhythmus überdrehter linkstyp übergangszone verschoben nach links vollständiger rechts schenkelbolck links anteriorer fascicular block subkutaner anteriorer infarkt sicher vorhofüberbelastung links pathologische repolarisation st - hebung über v3 v4 v5 t neg ,1,
 sinusrhythmus mlt flaches t in iii l v1 normales ecg ,1,
 sinusrhythmus lagetyp normal verzögerte r - progression über vorderwand ,1,
 tachykardes vorhofflimmern ueberdrehter linkstyp vollständiger links schenkelblock fehlende r - progression über vorderwand ,1,
 sinusrhythmus lagetyp normal q in iii avf ,1,
 sinusrhythmus lagetyp normal qrs ( t ) abnormal anteroseptaler infarkt alter unbest path repolarisation pathologisch ,1,
 sinustachykardie rechtstyp sonst normales ecg ,1,
 sinusrhythmus lagetyp normal st - hebung diskret v3 ecg normal ,1,
 bradykardie sinus lagetyp normal intraventr leitungsstoerung i v3 schlechte r - progression v1 - v3 t - veraenderungen neg in l v1 ecg wahrscheinlich normal ,1,
 sinusrhythmus linkstyp intraventr leitungsstoerung v1 v2 iii f st - senkung asc v2 t - veraenderungen hoch in v2 grenzbefund ,1,
 steiltyp wandernder schrittmacher av - block xxxx grades intraventr leitungsstoerung avl st - hebung v2 ,1,
 sinusrhythmus linkstyp st - hebung in v2 biphasisches t in iii neg in v1 normales ecg ,1,
 sinusrhythmus linkstyp überdreht t flach in v3 - xxxx neg in ii v1 ,1,
 ventrikuläre extrasystole ( n ) uniform sinustachykardie llt vorhofsueberlastung rechts st - senkung in v3 - xxxx pathologisches ecg ,1,
 sinustachykardie lagetyp normal sonst normales ecg edit norm xxxx tachykardie norm xxxx ,1,
 sinusrhythmus av block i p - sinistrocardiale unvollständiger rechtsschenkelblock ,1,
 llt sinus mit av - rhythmus wechselnd diskrete st - senkung in v6 pathologisches ecg ,1,
 sinusrhythmus verdacht auf p - sinistrocardiale linkstyp ,4,
 sinusrhythmus av block i ueberdrehter linkstyp linksschenkelblock st - hebung in v1 xxxx pathologisches ecg ,1,
 sinusrhythmus lagetyp normal neg t in v1 wahrscheinlich normales ecg ,1,
 llt sr flaches t in i iii l r verzögerte r - progression wahrscheinlich normales ecg ,1,
 supraventrikuläre extrasystole ( n ) sinusrhythmus lagetyp normal sonst normales ecg ,21,
 sinusrhythmus llt av - block xxxx grades chron inferiorer infarkt möglich ,1,
 sinusrhythmus llt chronischer inferiorer infarkt möglich q in iii f hohes t in v2 xxxx pathologisches ecg ,1,
 sinusrhythmus lagetyp normal st and t abnorm wahrscheinlich inferiore ischämie oder linksbelastung ,1,
 sinusrhythmus lagetyp normal spitzes t in i ii f v2 - xxxx normales ecg ,1,
 sinusrhythmus av block i linkstyp linksschenkelblock st - hebung v1 - v4 st - senkung v2 - v6 ecg pathologisch ,1,
 sinusrhythmus verdacht auf p - sinistrocardiale linkstyp unspezifisches abnormes t ,1,
 sinusrhythmus llt q - in iii normales ecg ,1,
 sinusrhythmus ueberdrehter linkstyp schenkelblock links ant fascicular block st and t abnormal wahrscheinlich pathologisch ,1,
 sinusbradykardie warnender schrittmacher linkstyp linksschenkelblock kammerhypertrophie pathologisch ,1,
 sinusrhythmus av block i llt st - senkung in ( i ii avl ) v4 - v6 t - veraenderungen in v2 - v4 biphas pathologisches ecg ,1,
 sinusrhythmus av block i llt st - hebung in avr iii st - senkung in i ii v4 - v6 t - veraenderungen biphas in v2 - v6 pathologisches ecg ,1,
 unregelmässiger rhythmus keine p - welle erkannt ueberdrehter linkstyp linksanteriorer fascicular block rechtsschenkelblock bifaszikulärer block qrs ( t ) abnormal sinusbradykardie supraventr extrasystolen pathologisch ,1,
 sinusrhythmus linkstyp intraventr leitungsstoerung avl iii normales ecg ,1,
 mlt rechts v2 vorhof - es partieller schenkelblock rechts st - hebung ecg grenzbefund ,1,
 sinusrhythmus p - sinistrocardiale lagetyp normal mässige amplitudenkriterien f#r linkshypertrophie ,2,
 sinusrhythmus lagetyp normal qrs ( t ) abnormal vorhof es st and t abnormal wahrscheinlich anterolaterale ischämie oder linksbelastung pathologisch ,1,
 sinusrhythmus linkslage verlangsamte r - progression part rsb t - veraenderungen flach in v5 xxxx ,1,
 sinusrhythmus mittellagetyp rechts ( v2 ) rechts vollständiger schenkelblock intraventr leitungsstörung st - senkung v1 - v5 pathologisches ecg ,1,
 supraventrikuläre extrasystole ( n ) sinusrhythmus p - sinistrocardiale lagetyp normal unvollständiger rechtsschenkelblock unspezifisch abnormes st and t ( hebung ) ,1,
 sinusrhythmus llt normales ecg ,17,
 sinusrhythmus linkstyp inferiorer infarkt chronisch sicher st - hebung ii iii f t - veränderungen flach v1 v6 pathologisches ecg ,1,
 sinustachykardie llt links t - veraenderungen neg in v4 xxxx chronischer anteroseptaler infarkt möglich pathologisches ecg ,1,
 sinusbradykardie ueberdrehter linkstyp st - hebung - t - veraenderungen av - block xxxx grades linksanteriorer fascicular block ecg pathologisch ,1,
 sinusbradykardie mlt st - senkung neg t - veraenderungen in i avl v4 - xxxx pathologisches ecg ,1,
 sinusrhythmus lagetyp normal vorhofsueberlastung links moeglich normal ,1,
 sinusarrhythmie ( fragl resp ) linkstyp qrs ( t ) abnormal inferiorer infarkt wahrscheinlich alt st - hebung in v2 ,1,
 sinusrhythmus verdacht auf p - sinistrocardiale ueberdrehter linkstyp linksanteriorer fascicular block ,1,
 sinusrhythmus ueberdrehter linkstyp periphere niederspannung lahb möglich chron inferiorer infarkt möglich fehlende r - progression v2 - xxxx ,1,
 sinusrhythmus lagetyp normal qrs ( t ) abnormal hochlateraler infarkt möglich ,29,
 sinusrhythmus linkstyp periphere niederspannung qrs ( t ) abnormal anteroseptaler infarkt alter unbest t biphasisch in v2 - xxxx neg in i avl ,1,
 sinustachykardie linkstyp qrs ( t ) abnormal inferiorer myokardschaden möglich ,1,
 sinusbradykardie steiltyp ecg normal ,1,
 tachykardes vorhofflimmern linkstyp kammerhypertrophie links sicher st - senkung in v5 - v6 fehlende r - progression in v1 - v3 ecg pathologisch ,1,
 vorhofflattern mit wechselnder überleitung llt t zeitweise spitz in v2 - v4 ,1,
 sinus arrhythmie linkstyp unspezifische intraventrikuläre leitungsstörung ,1,
 sinusbradykardie linkstyp t negativ in iii v1 t abgeflacht in avf xxxx - zipfliges p xxxx sec negatives p in iii avf ,1,
 normokardes bis tachykardes vorhofflimmern ueberdrehter linkstyp linksanteriorer fascicular block st - senkung über i avl t spitz zulaufend in v2 v5 ,1,
 sinusrhythmus mlt t insgesamt flach normales ecg ,1,
 supraventrikuläre extrasystole ( n ) sinusrhythmus wandernder schrittmacher linkstyp pathologisches ecg ,1,
 sinusbradykardie linkstyp sonst normales ecg ,14,
 sinustachykardie lagetyp normal sonst normales ecg ,31,
 sinusrhythmus respiratorische arrhythmie slt wahrscheinlich normales ecg ,1,
 sinusbradykardie lagetyp normal normales ecg ,23,
 vorhofflimmern - flattern lagetyp normal qrs ( t ) abnorm anteroseptaler myokardschaden ,1,
 sinustachykardie ueberdrehter linkstyp linksanteriorer fascicular block qrs ( t ) abnormal anteroseptaler infarkt wahrscheinlich alt st and t abnormal pathologisch ,1,
 sinusrhythmus linkstyp unspezifisches abnormales t wahrscheinlich normal ,1,
 ventrikuläre extrasystole ( n ) sinustachykardie lagetyp normal unspezifisches abnormales t pathologisch ,1,
 sinusrhythmus lagetyp normal unspezifisches abnormales t qt - verlängerung ,6,
 sinusrhythmus lagetyp normal path repolarisation normal ,1,
 sinusrhythmus ueberdrehter linkstyp rechtsschenkelblock qrs ( t ) abnormal supraventr extrasystolen pathologisch ,1,
 sinusrhythmus lagetyp normal unspezifische intraventrikuläre leitungsstörung ,7,
 sinus arrhythmie lagetyp normal linksschenkelblock ,1,
 sinusrhythmus lagetyp normal unvollständiger rechtsschenkelblock intraventr leitungsstoerung pathologisch ,1,
 supraventrikuläre extrasystole ( n ) sinusrhythmus linkstyp qrs ( t ) abnormal posteriorer inferiorer infarkt alter unbest pathologisch ,1,
 sinusrhythmus lagetyp normal ,17,
 sinusrhythmus linkstyp linksschenkelblock ,10,
 sinusrhythmus lagetyp normal mässige amplitudenkriterien f#r linkshypertrophie t abnorm in hochlateralen ableitungen ,1,
 sinusrhythmus unspezifisches abnormales t qt - verlängerung ,2,
 normokardes vorhofflimmern - flattern ueberdrehter linkstyp lahb ,1,
 sinusbradykardie lagetyp normal sonst normales ecg fehlende r - progression in v1 - xxxx ,1,
 vorhofflimmern - flattern lagetyp normal st and t abnormal wahrscheinlich anterolaterale ischämie oder linksbelastung inferolaterale ischämie oder linksbelastung ,2,
 sinusrhythmus verdacht auf p - sinistrocardiale ueberdrehter linkstyp ,2,
 sinusrhythmus p - sinistrocardiale ueberdrehter linkstyp linksanteriorer fascicular block qrs ( t ) abnorm lateraler myokardschaden nicht auszuschliessen ,1,
 sinusbradykardie linkstyp periphere niederspannung ,1,
 sinusrhythmus linkslagetyp intraventr leitungsstörung in ii iii avf normales ecg ,1,
 linkslagetyp sinustachykardie > xxxx - min vorhof - es z t in bigeminie intraventr leitungsstörung in iii avf st - hebung in v1 st - senkung in i v2 - v5 t neg in avl path ecg ,1,
 sinusrhythmus lagetyp normal qrs ( t ) abnormal ,4,
 sinusrhythmus ueberdrehter linkstyp linksanteriorer fascicular block path ecg ,3,
 seitenlagetyp sinustachykardie av block i intraventr leitungsstörung in i ii iii avr avl v1 v4 - xxxx linkshypertrophie t biphasisch in v5 v6 t neg in ii iii avf vd auf ischamie inferior path ecg ,1,
 sinusrhythmus lagetyp normal t biphasisch in v4 t flach in v5 i iii avl path ecg ,1,
 sinusbradykardie llt wahrscheinlich normales ecg ,1,
 sinusbradykardie llt normales ecg ,4,
 tachykardes vorhofflimmern llt periphere niederspannung st - senkung in v3 - xxxx ,1,
 sinusrhythmus lagetyp normal normales ecg q in iii intraventr leitungsstoerung f ,1,
 sinusbradykardie lagetyp normal normales ecg intraventr leitungsstoerung iii l st - hebung t - veraenderungen v2 v3 xxxx - v6 ,1,
 vorhofflimmern - flattern rechtstyp linksposteriorer fascicular block ,1,
 sinusrhythmus lagetyp normal intraventr leitungsstoerung iii f ecg normal ,1,
 sinusrhythmus linkstyp intraventr leitungsstoerung avf inferiorer infarkt chronisch moeglich ecg pathologisch ,1,
 vorhofflattern steiltyp ecg pathologisch ,1,
 sinusrhythmus lagetyp normal unvollständiger rechtsschenkelblock grenzbefund ,1,
 trace only requested edit norm xxxx irbbb tor v6baselinewanderung ,1,
 sinusrhythmus p - sinistrocardiale linkstyp qrs ( t ) abnormal anteroseptaler infarkt alter unbest st and t abnormal wahrscheinlich hochlaterale ischämie oder linksbelastung ,1,
 sinusrhythmus lagetyp normal intraventr leitungsstoerung iii v3 vorhofsueberbelastung links st - hebung v2 +v3 t - veraenderungen hohes t v2 + v3 grenzwertige pq - zeit grenzbefund ,1,
 sinusrhythmus lagetyp normal qrs ( t ) abnormal wahrscheinlich normal ,3,
 sinusrhythmus av block i lagetyp normal periphere niederspannung qt - verlängerung pathologisch ,1,
 sinusrhythmus lagetyp normal q in ii iii avf schlechte r - progression wahrscheinlich normal ,1,
 sinusrhythmus ueberdrehter linkstyp linksanteriorer fascicular block qrs ( t ) abnormal pathologisch ,3,
 sinusbradykardie slt rechts t - veraenderungen in v1 v2 pathologisches ecg ,1,
 sinustachykardie llt av - block xxxx grades pathologisches ecg ,1,
 lagetyp normal normales ecg ,1,
 sinusrhythmus llt rechts t - veraenderungen flach in v1 iii avf erhoeht in v2 - xxxx sonst normales ecg ,1,
 sinusrhythmus ueberdrehter linkstyp vollständiger linksschenkelblock t - veränderungen avl pathologisches ecg ,1,
 sinus arrhythmie sinusrhythmus supraventr extrasystolen vorhofs - es linkslagetyp st - hebung v1 - xxxx t - veränderungen flch in iii pathologisches ecg ,1,
 sinusrhythmus llt flache t in iii avf pathologisches ecg ,1,
 sinusrhythmus lagetyp normal r - s #bergang in v ableitungen nach rechts verschoben unvollständiger rechtsschenkelblock sonst normales ecg ,2,
 sinusrhythmus schenkelblock partiell rechts lagetyp normal qrs ( t ) abnormal grenzbefund ,1,
 sinusrhythmus llt flache t inii avf v5 neg t in v1 - xxxx wahrscheinlich normales ecg ,1,
 sinustachykardie lagetyp normal periphere niederspannung ,3,
 sinusbradykardie av block i llt pathologsiches ecg ,1,
 sinusrhythmus linkstyp unspezifisches abnormales t qt - verlängerung ,5,
 supraventrikuläre extrasystole ( n ) sinustachykardie llt linke vorhofsüberbelastung pathologisches ecg ,1,
 sinusrhythmus linkstyp linksschenkelblock linkshypertrophie möglich ,4,
 sinusrhythmus lagetyp normal unvollständiger rechtsschenkelblock qrs ( t ) abnorm hochlateraler myokardschaden nicht auszuschliessen ,1,
 sinus arrhythmie lagetyp normal unvollständiger rechtsschenkelblock sonst normales ecg ,6,
 bradykardie sinus intraventr leitungsstoerung ii iii avr avl avf v1 xxxx st - hebung v2 xxxx t - veraenderungen ueberhoeht v2 - v4 ecg normal ,1,
 sinusrhythmus linkstyp intraventr leitungsstoerung path repolarisation normal ,1,
 sinusrhythmus lagetyp normal verminderte r - progression wahrscheinlich normales ecg ,1,
 sinusbradykardie linkstyp normales ecg ,4,
 sinusrhythmus rechtsschenkelblock ,2,
 supraventrikuläre extrasystole ( n ) sinusrhythmus lagetyp normal ,1,
 sinusbradykardie lagetyp normal intraventr leitungsstoerung qrs ( t ) abnormal wahrscheinlich normal ,1,
 sinustachykardie steiltyp muldenförmige st - senkung inferior t negativ in iii v1 avf ,1,
 sinusrytm misstänkt hypertrofi av vänster förmak vänster el - axel ,1,
 sinusrhythmus lagetyp normal qrs ( t ) abnorm septaler infarkt nicht auszuschliessen ,1,
 sinusrhythmus linkstyp qrs ( t ) abnormal inferiorer myokardschaden nicht auszuschliessen ,1,
 sinusbradykardie lagetyp normal intraventr leitungsstoerung path repolarisation verzoegerte r - progression v1 - xxxx normal ,1,
 normokardes vorhoffllimmern linkstyp t flach in v1 - xxxx ,1,
 sinusrhythmus linkstyp linksschenkelblock t neg in avl ,1,
 sinusbradykardie lagetyp normal verzögerte r - progression v1 - xxxx t neg in avl ,1,
 sinusrhythmus lagetyp normal ves ,1,
 sinusrhythmus av block i lagetyp normal linkshypertrophie möglich t neg in v3 - xxxx avl i flach in ii biphasisch in iii avf ,1,
 sinusrhythmus lagetyp normal av - block i grades partieller rechtsschenkelblock t neg in iii v1 path ecg ,1,
 sinusbradykardie p - verbreiterung ,1,
 tachykardes vorhofflimmern linkstyp subakuter posteriorer infarkt möglich st - hebung in avr st - senkung in v2 - xxxx i ii avf ( innenschichtischämie ) ,1,
 vorhofflattern lagetyp normal unregelmässige abstände rr flimmer - flattern path ecg ,1,
 sinusrhythmus av block i verdacht auf p - sinistrocardiale linkstyp ,1,
 bradykardes vorhofflattern seitenlagetyp path ecg ,1,
 multiforme ventrikuläre extrasystole ( n ) mehr als xxxx - min sinustychykardie lagetyp normal path ecg ,1,
 sinusrhythmus lagetyp normal intraventr leitungsstörung in iii avl normales ecg ,1,
 sinustachykardie p - sinistrocardiale lagetyp normal st and t abnorm wahrscheinlich inferiore ischämie oder linksbelastung ,1,
 sinus arrhythmie verdacht auf p - sinistrocardiale lagetyp normal ,9,
 vorhofflimmern - flattern ueberdrehter rechtstyp qrs ( t ) abnorm lateraler myokardschaden t abnorm in anterioren ableitungen ,1,
 sinusbradykardie p - verbreiterung lagetyp normal st and t abnorm wahrscheinlich hochlaterale ischämie oder linksbelastung ,1,
